parameter,delta,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,instance_name
costs,0.0,4,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,248.47787928581238,6973,True,medium_seed42_costs_+0%
costs,0.0,5,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,119.17094016075134,6272,True,medium_seed42_costs_+0%
costs,0.0,6,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,100.34805631637573,5963,True,medium_seed42_costs_+0%
costs,0.0,7,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,121.5139307975769,6274,True,medium_seed42_costs_+0%
costs,0.0,8,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,116.36129903793335,5649,True,medium_seed42_costs_+0%
costs,0.0,9,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,186.87086153030396,6969,True,medium_seed42_costs_+0%
costs,0.0,10,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,97.48146986961365,5729,True,medium_seed42_costs_+0%
costs,0.0,11,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,99.92935824394226,8136,True,medium_seed42_costs_+0%
costs,0.0,12,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,104.0438141822815,5731,True,medium_seed42_costs_+0%
costs,0.0,13,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,150.9957103729248,5336,True,medium_seed42_costs_+0%
costs,0.0,14,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,134.00286173820496,6466,True,medium_seed42_costs_+0%
costs,0.0,15,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,139.72693133354187,6353,True,medium_seed42_costs_+0%
costs,0.0,16,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,108.89270949363708,5958,True,medium_seed42_costs_+0%
costs,0.0,17,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,118.69014763832092,7091,True,medium_seed42_costs_+0%
costs,0.0,18,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,96.8977198600769,5800,True,medium_seed42_costs_+0%
costs,0.0,19,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,88.78070449829102,5305,True,medium_seed42_costs_+0%
costs,0.0,20,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,120.85830187797546,6974,True,medium_seed42_costs_+0%
costs,0.0,21,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,88.00323510169983,5260,True,medium_seed42_costs_+0%
costs,0.0,22,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,109.03768801689148,6591,True,medium_seed42_costs_+0%
costs,0.0,23,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,92.22532057762146,6314,True,medium_seed42_costs_+0%
costs,0.0,24,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,81.00996041297913,6308,True,medium_seed42_costs_+0%
costs,0.0,25,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,88.19618487358093,5926,True,medium_seed42_costs_+0%
costs,0.0,26,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,94.33146595954895,5767,True,medium_seed42_costs_+0%
costs,0.0,27,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,98.77509140968323,5850,True,medium_seed42_costs_+0%
costs,0.0,28,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,107.29369831085205,6278,True,medium_seed42_costs_+0%
