algorithm,size_profile,instance_seed,run_seed,z_stable,service_stable,low_rotation_stable,elapsed_stable,z_seasonal,service_seasonal,low_rotation_seasonal,elapsed_seasonal,delta_z_pct,delta_service_pp,delta_low_rotation_pct,delta_elapsed_pct
cbc_exact,small,42,1,571535746.9501077,56.17383829599589,491.173815,6.624823808670044,649963169.063035,64.3113093148575,0.0,6.22697114944458,13.72222516814397,8.137471018861604,-100.0,-6.005482873443153
de,medium,42,1,551611597.6838298,56.48101833972543,571.3854187049747,405.4519650936127,629260930.8883402,64.65504296253151,0.0,450.8653519153595,14.07681302034863,8.17402462280608,-100.0,11.200682382008312
de,medium,42,2,551611597.6838298,56.48101833972543,571.3854187049747,438.2810966968536,629260930.8883402,64.65504296253151,0.0,422.5616056919098,14.07681302034863,8.17402462280608,-100.0,-3.58662308810834
de,medium,42,3,551575019.6038299,56.47938808850147,571.3854187049747,420.5383565425873,629260930.8883402,64.65504296253151,0.0,765.4090478420258,14.08437810332826,8.175654874030037,-100.0,82.00695273904557
de,medium,42,4,551611597.6838298,56.48101833972543,571.3854187049747,439.9918885231018,629260930.8883402,64.65504296253151,0.0,741.3451182842255,14.07681302034863,8.17402462280608,-100.0,68.49063303704543
de,medium,42,5,551611597.6838298,56.48101833972543,571.3854187049747,429.7686052322388,629260930.8883402,64.65504296253151,0.0,903.2622828483582,14.07681302034863,8.17402462280608,-100.0,110.17409644435344
de,small,42,1,552277686.7837336,56.4843758197804,491.17381517409456,226.45627069473267,628983266.5385001,64.61016326626188,0.0,210.53884482383728,13.888951444240332,8.125787446481482,-100.0,-7.028918131550606
de,small,42,2,552277686.7837336,56.4843758197804,491.17381517409456,200.03239369392395,628998735.6385002,64.61105927248101,0.0,194.1546185016632,13.891752408387594,8.126683452700618,-100.0,-2.9384116660897015
de,small,42,3,552277686.7837336,56.4843758197804,491.17381517409456,214.0602524280548,628998735.6385002,64.61105927248101,0.0,197.29264736175537,13.891752408387594,8.126683452700618,-100.0,-7.833124027514167
de,small,42,4,552260009.2837336,56.48360862406969,491.17381517409456,218.6779341697693,628998735.6385002,64.61105927248101,0.0,192.12789583206177,13.895398012667018,8.127450648411326,-100.0,-12.141160212852368
