algorithm,instance,seed,size_profile,demand_profile,instance_seed,run_seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible
sa,medium_seasonal_seed42,4,medium,seasonal,42,4,593429214.2142136,,62.76022897886188,18433.569773232317,0.0,50.2339129447937,744,True
sa,medium_seasonal_seed42,5,medium,seasonal,42,5,504259752.63210654,,58.23135046844124,16808.68884805618,0.0,64.41642761230469,792,True
sa,medium_stable_seed42,1,medium,stable,42,1,537920676.7897112,,55.884135558006,17652.146453046873,490.4914215085977,52.17445731163025,760,True
sa,medium_stable_seed42,2,medium,stable,42,2,523523524.1474557,,55.25193539000927,17224.759209960957,373.1034121482811,52.89300179481506,771,True
sa,medium_stable_seed42,3,medium,stable,42,3,534486512.4824994,,55.72702714864332,17413.36885640415,571.3854187049747,48.355857372283936,801,True
sa,medium_stable_seed42,4,medium,stable,42,4,513405985.2049587,,54.8155383008948,17109.74440197685,473.91817106966926,45.886534452438354,744,True
sa,medium_stable_seed42,5,medium,stable,42,5,422307610.15043366,,50.85551527902192,15294.323908211045,429.5427019377677,47.88346934318543,793,True
sa,small_seasonal_seed42,1,small,seasonal,42,1,617093617.8433031,,63.963144804907,19090.97027296289,0.0,24.10001921653748,760,True
sa,small_seasonal_seed42,2,small,seasonal,42,2,603731580.3764673,,63.24110506324851,18487.27812096315,0.0,33.949888467788696,771,True
sa,small_seasonal_seed42,3,small,seasonal,42,3,614037009.9883424,,63.7812921141029,18757.30994890804,0.0,32.54509210586548,801,True
sa,small_seasonal_seed42,4,small,seasonal,42,4,565215940.8714786,,61.3117961475356,18170.696457497583,0.0,18.0703866481781,754,True
sa,small_seasonal_seed42,5,small,seasonal,42,5,503242343.4292421,,58.13020606423858,16482.397163626265,0.0,25.82512187957764,793,True
sa,small_stable_seed42,1,small,stable,42,1,514861522.9600281,,54.84201446379766,16753.084546356567,397.9738151740946,21.637690544128414,788,True
sa,small_stable_seed42,2,small,stable,42,2,524189622.5877597,,55.25661216976889,17104.982067712834,390.7738151740947,21.52828073501587,771,True
sa,small_stable_seed42,3,small,stable,42,3,535152615.1906085,,55.73127145886485,17294.601858588143,459.9738151740946,20.99852156639099,801,True
sa,small_stable_seed42,4,small,stable,42,4,514097407.2886095,,54.82167938883566,16990.709346427135,260.5138137232485,25.17213225364685,744,True
sa,small_stable_seed42,5,small,stable,42,5,422982141.8805967,,50.86564253511825,15174.626334766084,455.9738151740946,25.050922632217407,793,True
ga_sa,medium_seasonal_seed42,5,medium,seasonal,42,5,629260930.8883402,nan,64.65504296253151,19558.75971925111,0.0,239.8426637649536,5727,True
