algorithm,tau,rho,n_cases
de,17.873290722609667,0.9,270
de,17.981452842626396,0.9,270
de,18.089614962643125,0.9,270
de,18.197777082659854,0.9074074074074074,270
de,18.30593920267658,0.9074074074074074,270
de,18.41410132269331,0.9111111111111111,270
de,18.522263442710038,0.9111111111111111,270
de,18.630425562726767,0.9111111111111111,270
de,18.738587682743496,0.9111111111111111,270
de,18.846749802760225,0.9111111111111111,270
de,18.954911922776954,0.9111111111111111,270
de,19.06307404279368,0.9148148148148149,270
de,19.17123616281041,0.9148148148148149,270
de,19.279398282827138,0.9148148148148149,270
de,19.387560402843867,0.9148148148148149,270
de,19.495722522860596,0.9185185185185185,270
de,19.603884642877325,0.9185185185185185,270
de,19.712046762894055,0.9185185185185185,270
de,19.820208882910784,0.9185185185185185,270
de,19.92837100292751,0.9185185185185185,270
de,20.03653312294424,0.9185185185185185,270
de,20.144695242960967,0.9185185185185185,270
de,20.252857362977696,0.9222222222222223,270
de,20.361019482994426,0.9222222222222223,270
de,20.469181603011155,0.9222222222222223,270
de,20.577343723027884,0.9222222222222223,270
de,20.685505843044613,0.9222222222222223,270
de,20.79366796306134,0.9222222222222223,270
de,20.901830083078067,0.9222222222222223,270
de,21.009992203094797,0.9222222222222223,270
de,21.118154323111526,0.9259259259259259,270
de,21.226316443128255,0.9259259259259259,270
de,21.334478563144984,0.9259259259259259,270
de,21.442640683161713,0.9259259259259259,270
de,21.550802803178442,0.9259259259259259,270
de,21.658964923195168,0.9259259259259259,270
de,21.767127043211897,0.9259259259259259,270
de,21.875289163228626,0.9259259259259259,270
de,21.983451283245355,0.9259259259259259,270
de,22.091613403262084,0.9259259259259259,270
de,22.199775523278813,0.9259259259259259,270
de,22.307937643295542,0.9296296296296296,270
de,22.416099763312268,0.9333333333333333,270
de,22.524261883328997,0.937037037037037,270
ga_sa,1.0,0.0,270
ga_sa,1.1081621200167286,0.0,270
ga_sa,1.2163242400334573,0.0,270
ga_sa,1.324486360050186,0.0,270
ga_sa,1.4326484800669146,0.0,270
ga_sa,1.5408106000836432,0.0,270
ga_sa,1.6489727201003719,0.0,270
ga_sa,1.7571348401171005,0.003703703703703704,270
ga_sa,1.8652969601338292,0.007407407407407408,270
ga_sa,1.9734590801505578,0.014814814814814815,270
ga_sa,2.0816212001672865,0.018518518518518517,270
ga_sa,2.1897833201840147,0.018518518518518517,270
ga_sa,2.2979454402007438,0.03333333333333333,270
ga_sa,2.406107560217472,0.037037037037037035,270
ga_sa,2.514269680234201,0.05185185185185185,270
ga_sa,2.6224318002509293,0.05555555555555555,270
ga_sa,2.7305939202676583,0.06296296296296296,270
ga_sa,2.8387560402843866,0.06666666666666667,270
ga_sa,2.9469181603011156,0.07037037037037037,270
ga_sa,3.055080280317844,0.08518518518518518,270
ga_sa,3.1632424003345725,0.0962962962962963,270
ga_sa,3.271404520351301,0.1037037037037037,270
