algorithm,instance,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,size,complexity,case_id
ga_sa,small_seed42,24,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,158.0637764930725,5963,True,small,1440,small_seed42_s24
ga_sa,small_seed42,25,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,133.579448223114,5926,True,small,1440,small_seed42_s25
ga_sa,small_seed42,26,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,57.375447034835815,5299,True,small,1440,small_seed42_s26
ga_sa,small_seed42,27,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,45.18247127532959,5850,True,small,1440,small_seed42_s27
ga_sa,small_seed42,28,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,87.42022490501404,6278,True,small,1440,small_seed42_s28
ga_sa,small_seed42,29,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,127.64950013160706,5848,True,small,1440,small_seed42_s29
ga_sa,small_seed42,30,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,170.10441064834595,7603,True,small,1440,small_seed42_s30
ga_sa,small_seed123,1,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,125.78409624099731,5685,True,small,1440,small_seed123_s1
ga_sa,small_seed123,2,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,121.5579957962036,5727,True,small,1440,small_seed123_s2
ga_sa,small_seed123,3,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,155.73517203330994,7170,True,small,1440,small_seed123_s3
ga_sa,small_seed123,4,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,141.43741846084595,6390,True,small,1440,small_seed123_s4
ga_sa,small_seed123,5,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,178.7968933582306,6976,True,small,1440,small_seed123_s5
ga_sa,small_seed123,6,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,131.0205340385437,5963,True,small,1440,small_seed123_s6
ga_sa,small_seed123,7,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,135.95722246170044,6274,True,small,1440,small_seed123_s7
ga_sa,small_seed123,8,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,138.10048389434814,6465,True,small,1440,small_seed123_s8
ga_sa,small_seed123,9,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,119.21319437026978,5959,True,small,1440,small_seed123_s9
ga_sa,small_seed123,10,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,160.67860960960388,5729,True,small,1440,small_seed123_s10
ga_sa,small_seed123,11,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,144.20524907112122,5844,True,small,1440,small_seed123_s11
ga_sa,small_seed123,12,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,153.4343011379242,5339,True,small,1440,small_seed123_s12
ga_sa,small_seed123,13,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,83.9079475402832,5336,True,small,1440,small_seed123_s13
ga_sa,small_seed123,14,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,46.53201627731323,6466,True,small,1440,small_seed123_s14
ga_sa,small_seed123,15,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,53.8362832069397,6353,True,small,1440,small_seed123_s15
ga_sa,small_seed123,16,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,58.77842545509338,5958,True,small,1440,small_seed123_s16
ga_sa,small_seed123,17,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,73.4004476070404,5691,True,small,1440,small_seed123_s17
ga_sa,small_seed123,18,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,73.29769706726074,5800,True,small,1440,small_seed123_s18
ga_sa,small_seed123,19,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,62.68665862083435,5305,True,small,1440,small_seed123_s19
ga_sa,small_seed123,20,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,45.06621479988098,5300,True,small,1440,small_seed123_s20
ga_sa,small_seed123,21,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,39.53174901008606,5300,True,small,1440,small_seed123_s21
ga_sa,small_seed123,22,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,45.80787968635559,6591,True,small,1440,small_seed123_s22
ga_sa,small_seed123,23,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,48.162761211395264,6314,True,small,1440,small_seed123_s23
ga_sa,small_seed123,24,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,47.62661600112915,6352,True,small,1440,small_seed123_s24
ga_sa,small_seed123,25,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,48.29472589492798,5926,True,small,1440,small_seed123_s25
ga_sa,small_seed123,26,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,49.23707699775696,5767,True,small,1440,small_seed123_s26
ga_sa,small_seed123,27,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,48.15417814254761,5850,True,small,1440,small_seed123_s27
ga_sa,small_seed123,28,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,48.789676904678345,6278,True,small,1440,small_seed123_s28
ga_sa,small_seed123,29,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,49.90128946304321,5848,True,small,1440,small_seed123_s29
ga_sa,small_seed123,30,558430771.4228833,3.432795980121438,57.1520122955377,17929.504511549763,0.0,62.18233251571655,7525,True,small,1440,small_seed123_s30
ga_sa,small_seed456,1,555566737.353149,3.381372636774245,56.94280930114696,17714.33663525002,162.95531489644657,42.48249793052673,5685,True,small,1440,small_seed456_s1
